monitor,uniqueID,date,day,position,dose,anoxia,bins60,counts60,cum.day
1,Rep.A,8/1/2018,1,t1,50,a,1:00,0,0
1,Rep.A,8/1/2018,1,t1,50,a,2:00,0,0
1,Rep.A,8/1/2018,1,t1,50,a,3:00,14,14
1,Rep.A,8/1/2018,1,t1,50,a,4:00,0,14
1,Rep.A,8/1/2018,1,t1,50,a,5:00,29,43
1,Rep.A,8/1/2018,1,t1,50,a,6:00,0,43
1,Rep.A,8/1/2018,1,t1,50,a,7:00,54,97
1,Rep.A,8/1/2018,1,t1,50,a,8:00,21,118
1,Rep.A,8/1/2018,1,t1,50,a,9:00,7,125
1,Rep.A,8/1/2018,1,t1,50,a,10:00,19,144
1,Rep.A,8/1/2018,1,t1,50,a,11:00,25,169
1,Rep.A,8/1/2018,1,t1,50,a,12:00,8,177
1,Rep.A,8/1/2018,1,t1,50,a,13:00,22,199
1,Rep.A,8/1/2018,1,t1,50,a,14:00,5,204
1,Rep.A,8/1/2018,1,t1,50,a,15:00,23,227
1,Rep.A,8/1/2018,1,t1,50,a,16:00,23,250
1,Rep.A,8/1/2018,1,t1,50,a,17:00,23,273
1,Rep.A,8/1/2018,1,t1,50,a,18:00,37,310
1,Rep.A,8/1/2018,1,t1,50,a,19:00,33,343
1,Rep.A,8/1/2018,1,t1,50,a,20:00,26,369
1,Rep.A,8/1/2018,1,t1,50,a,21:00,39,408
1,Rep.A,8/1/2018,1,t1,50,a,22:00,0,408
1,Rep.A,8/1/2018,1,t1,50,a,23:00,0,408
1,Rep.A,8/1/2018,1,t1,50,a,0:00,0,408
1,Rep.A,8/1/2018,1,t10,100,a,1:00,0,0
1,Rep.A,8/1/2018,1,t10,100,a,2:00,0,0
1,Rep.A,8/1/2018,1,t10,100,a,3:00,0,0
1,Rep.A,8/1/2018,1,t10,100,a,4:00,0,0
1,Rep.A,8/1/2018,1,t10,100,a,5:00,0,0
1,Rep.A,8/1/2018,1,t10,100,a,6:00,0,0
1,Rep.A,8/1/2018,1,t10,100,a,7:00,48,48
1,Rep.A,8/1/2018,1,t10,100,a,8:00,8,56
1,Rep.A,8/1/2018,1,t10,100,a,9:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,10:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,11:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,12:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,13:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,14:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,15:00,0,56
1,Rep.A,8/1/2018,1,t10,100,a,16:00,6,62
1,Rep.A,8/1/2018,1,t10,100,a,17:00,8,70
1,Rep.A,8/1/2018,1,t10,100,a,18:00,10,80
1,Rep.A,8/1/2018,1,t10,100,a,19:00,13,93
1,Rep.A,8/1/2018,1,t10,100,a,20:00,6,99
1,Rep.A,8/1/2018,1,t10,100,a,21:00,4,103
1,Rep.A,8/1/2018,1,t10,100,a,22:00,0,103
1,Rep.A,8/1/2018,1,t10,100,a,23:00,0,103
1,Rep.A,8/1/2018,1,t10,100,a,0:00,0,103
1,Rep.A,8/1/2018,1,t11,50,a,1:00,0,0
1,Rep.A,8/1/2018,1,t11,50,a,2:00,0,0
1,Rep.A,8/1/2018,1,t11,50,a,3:00,0,0
1,Rep.A,8/1/2018,1,t11,50,a,4:00,0,0
1,Rep.A,8/1/2018,1,t11,50,a,5:00,0,0
1,Rep.A,8/1/2018,1,t11,50,a,6:00,0,0
1,Rep.A,8/1/2018,1,t11,50,a,7:00,24,24
1,Rep.A,8/1/2018,1,t11,50,a,8:00,20,44
1,Rep.A,8/1/2018,1,t11,50,a,9:00,2,46
1,Rep.A,8/1/2018,1,t11,50,a,10:00,18,64
1,Rep.A,8/1/2018,1,t11,50,a,11:00,20,84
1,Rep.A,8/1/2018,1,t11,50,a,12:00,8,92
1,Rep.A,8/1/2018,1,t11,50,a,13:00,2,94
1,Rep.A,8/1/2018,1,t11,50,a,14:00,13,107
1,Rep.A,8/1/2018,1,t11,50,a,15:00,29,136
1,Rep.A,8/1/2018,1,t11,50,a,16:00,50,186
1,Rep.A,8/1/2018,1,t11,50,a,17:00,42,228
1,Rep.A,8/1/2018,1,t11,50,a,18:00,62,290
1,Rep.A,8/1/2018,1,t11,50,a,19:00,83,373
1,Rep.A,8/1/2018,1,t11,50,a,20:00,80,453
1,Rep.A,8/1/2018,1,t11,50,a,21:00,16,469
1,Rep.A,8/1/2018,1,t11,50,a,22:00,0,469
1,Rep.A,8/1/2018,1,t11,50,a,23:00,0,469
1,Rep.A,8/1/2018,1,t11,50,a,0:00,0,469
1,Rep.A,8/1/2018,1,t12,20,a,1:00,0,0
1,Rep.A,8/1/2018,1,t12,20,a,2:00,2,2
1,Rep.A,8/1/2018,1,t12,20,a,3:00,0,2
1,Rep.A,8/1/2018,1,t12,20,a,4:00,2,4
1,Rep.A,8/1/2018,1,t12,20,a,5:00,0,4
1,Rep.A,8/1/2018,1,t12,20,a,6:00,0,4
1,Rep.A,8/1/2018,1,t12,20,a,7:00,55,59
1,Rep.A,8/1/2018,1,t12,20,a,8:00,10,69
1,Rep.A,8/1/2018,1,t12,20,a,9:00,6,75
1,Rep.A,8/1/2018,1,t12,20,a,10:00,20,95
1,Rep.A,8/1/2018,1,t12,20,a,11:00,16,111
1,Rep.A,8/1/2018,1,t12,20,a,12:00,0,111
1,Rep.A,8/1/2018,1,t12,20,a,13:00,3,114
1,Rep.A,8/1/2018,1,t12,20,a,14:00,0,114
1,Rep.A,8/1/2018,1,t12,20,a,15:00,49,163
1,Rep.A,8/1/2018,1,t12,20,a,16:00,13,176
1,Rep.A,8/1/2018,1,t12,20,a,17:00,67,243
1,Rep.A,8/1/2018,1,t12,20,a,18:00,63,306
1,Rep.A,8/1/2018,1,t12,20,a,19:00,65,371
1,Rep.A,8/1/2018,1,t12,20,a,20:00,46,417
1,Rep.A,8/1/2018,1,t12,20,a,21:00,7,424
1,Rep.A,8/1/2018,1,t12,20,a,22:00,0,424
1,Rep.A,8/1/2018,1,t12,20,a,23:00,0,424
1,Rep.A,8/1/2018,1,t12,20,a,0:00,0,424
1,Rep.A,8/1/2018,1,t13,50,n,1:00,0,0
1,Rep.A,8/1/2018,1,t13,50,n,2:00,0,0
1,Rep.A,8/1/2018,1,t13,50,n,3:00,0,0
1,Rep.A,8/1/2018,1,t13,50,n,4:00,0,0
1,Rep.A,8/1/2018,1,t13,50,n,5:00,0,0
1,Rep.A,8/1/2018,1,t13,50,n,6:00,0,0
1,Rep.A,8/1/2018,1,t13,50,n,7:00,8,8
1,Rep.A,8/1/2018,1,t13,50,n,8:00,0,8
1,Rep.A,8/1/2018,1,t13,50,n,9:00,0,8
1,Rep.A,8/1/2018,1,t13,50,n,10:00,2,10
1,Rep.A,8/1/2018,1,t13,50,n,11:00,0,10
1,Rep.A,8/1/2018,1,t13,50,n,12:00,0,10
1,Rep.A,8/1/2018,1,t13,50,n,13:00,0,10
1,Rep.A,8/1/2018,1,t13,50,n,14:00,3,13
1,Rep.A,8/1/2018,1,t13,50,n,15:00,10,23
1,Rep.A,8/1/2018,1,t13,50,n,16:00,27,50
1,Rep.A,8/1/2018,1,t13,50,n,17:00,24,74
1,Rep.A,8/1/2018,1,t13,50,n,18:00,29,103
1,Rep.A,8/1/2018,1,t13,50,n,19:00,29,132
1,Rep.A,8/1/2018,1,t13,50,n,20:00,28,160
1,Rep.A,8/1/2018,1,t13,50,n,21:00,1,161
1,Rep.A,8/1/2018,1,t13,50,n,22:00,0,161
1,Rep.A,8/1/2018,1,t13,50,n,23:00,0,161
1,Rep.A,8/1/2018,1,t13,50,n,0:00,0,161
1,Rep.A,8/1/2018,1,t14,20,n,1:00,0,0
