monitor,uniqueID,date,day,position,dose,anoxia,bins60,counts60,cum.day
1,Rep.B,8/28/2018,1,t1,20,a,1:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,2:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,3:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,4:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,5:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,6:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,7:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,8:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,9:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,10:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,11:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,12:00,0,0
1,Rep.B,8/28/2018,1,t1,20,a,13:00,30,30
1,Rep.B,8/28/2018,1,t1,20,a,14:00,18,48
1,Rep.B,8/28/2018,1,t1,20,a,15:00,42,90
1,Rep.B,8/28/2018,1,t1,20,a,16:00,27,117
1,Rep.B,8/28/2018,1,t1,20,a,17:00,29,146
1,Rep.B,8/28/2018,1,t1,20,a,18:00,22,168
1,Rep.B,8/28/2018,1,t1,20,a,19:00,16,184
1,Rep.B,8/28/2018,1,t1,20,a,20:00,35,219
1,Rep.B,8/28/2018,1,t1,20,a,21:00,17,236
1,Rep.B,8/28/2018,1,t1,20,a,22:00,0,236
1,Rep.B,8/28/2018,1,t1,20,a,23:00,0,236
1,Rep.B,8/28/2018,1,t1,20,a,0:00,0,236
1,Rep.B,8/28/2018,1,t10,100,a,1:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,2:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,3:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,4:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,5:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,6:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,7:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,8:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,9:00,0,0
1,Rep.B,8/28/2018,1,t10,100,a,10:00,0,0
